"","Polling.Firm","Commissioners","Fieldwork.Start","Fieldwork.End","Scope","Sample.Size","Sample.Size.Qualification","Participation","Precision","PiS","PO","K15",".N","PSL","SLD","Wiosna","NN","LR","ZP","KO","Lewica","KP","Konfederacja","BS","KE","PL2050","Porozumienie","AU","AU.Porozumienie","TD","T.DPL","PJJ","Other"
"565","IBRiS","Onet.pl","2020-12-16","2020-12-16","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,22.3,7.1,6.1,4.9,NA,NA,11,NA,NA,NA,NA,NA,NA,15.5
"566","Social Changes","wPolityce.pl","2020-12-11","2020-12-14","National","1092","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,36,26,12,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"567","Instytut Badań Pollster","SE.pl","2020-12-12","2020-12-12","National","1067","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.05,26.29,8.52,5.27,6.03,NA,NA,12.44,NA,NA,NA,NA,NA,NA,1.4
"568","IBRiS","WP.pl","2020-12-11","2020-12-12","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,23.4,9.7,6.2,4,NA,NA,14.4,NA,NA,NA,NA,NA,NA,8.3
"569","Estymator","DoRzeczy.pl","2020-12-10","2020-12-11","National","1023","Provided","Not Available","0.1%",NA,NA,2.4,NA,NA,NA,NA,NA,NA,38.3,24.9,10.9,5.7,4.4,NA,NA,13.2,NA,NA,NA,NA,NA,NA,0.2
"570","PGB Opinium","","2020-12-09","2020-12-10","National","1100","Provided","Not Available","0.1%",NA,NA,0.7,NA,NA,NA,NA,NA,NA,33.7,23.8,9,4.8,5.9,NA,NA,13.6,NA,NA,NA,NA,NA,NA,8.6
"571","CBOS","","2020-11-30","2020-12-10","National","1010","Provided","Not Available","0.1%",NA,NA,2,NA,NA,NA,NA,NA,NA,31.1,18.1,3.9,2,5.1,NA,NA,15.6,NA,NA,NA,NA,NA,NA,22.2
"572","Kantar Public","","2020-12-04","2020-12-09","National","987","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,25,25,8,5,6,NA,NA,13,NA,NA,NA,NA,NA,NA,16
"573","Social Changes","wPolityce.pl","2020-12-04","2020-12-08","National","1079","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,31,27,13,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"574","Social Changes","wPolityce.pl","2020-11-17","2020-11-30","National","1079","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,28,14,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"575","United Survey","DGP and RMF","2020-11-27","2020-11-28","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,23,9.8,6.1,4.7,NA,NA,11.8,NA,NA,NA,NA,NA,NA,11
"576","IBRiS","WP.pl","2020-11-27","2020-11-27","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,22.4,10.1,5.8,5.4,NA,NA,12.6,NA,NA,NA,NA,NA,NA,11
"577","Estymator","DoRzeczy.pl","2020-11-26","2020-11-27","National","1019","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,27.4,9.6,4.8,5.2,NA,NA,15.8,NA,NA,NA,NA,NA,NA,0.3
"578","IPSOS","OKO","2020-11-23","2020-11-25","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,29,23,10,4,9,NA,NA,20,NA,NA,NA,NA,NA,NA,5
"579","Social Changes","wPolityce.pl","2020-11-20","2020-11-23","National","1058","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,26,13,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"580","Kantar Public","TVN","2020-11-20","2020-11-23","National","1003","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,27,25,8,4,7,NA,NA,14,NA,NA,NA,NA,NA,NA,15
"581","Social Changes","wPolityce.pl","2020-11-13","2020-11-16","National","1049","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,31,12,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"582","IBRiS","WP.pl","2020-11-13","2020-11-14","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,24.1,8.4,5,2.3,NA,NA,13.1,NA,NA,NA,NA,NA,NA,14
"583","Estymator","DoRzeczy.pl","2020-11-12","2020-11-13","National","1025","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,29.2,9.4,4.6,6.6,NA,NA,12.6,NA,NA,NA,NA,NA,NA,1
"584","Kantar Public","","2020-11-06","2020-11-12","National","981","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,24,6,6,6,NA,NA,13,NA,NA,NA,NA,NA,NA,15
"585","Social Changes","wPolityce.pl","2020-11-06","2020-11-09","National","1088","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,29,15,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"586","IBRiS","Onet","2020-11-03","2020-11-03","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,24.7,7,5.1,5.1,NA,NA,11.3,NA,NA,NA,NA,NA,NA,18
"587","Social Changes","wPolityce.pl","2020-10-30","2020-11-02","National","1080","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,27,14,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"588","United Survey","RMF","2020-10-31","2020-10-31","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,25.3,6,2.7,4.9,NA,NA,14.7,NA,NA,NA,NA,NA,NA,15.4
"589","IBRiS","Rzeczpospolita","2020-10-30","2020-10-31","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,28,23.1,6.2,2.8,4.4,NA,NA,14.9,NA,NA,NA,NA,NA,NA,20.6
"590","IBRiS","WP.pl","2020-10-30","2020-10-30","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,26.2,7.6,3.6,5.8,NA,NA,16.3,NA,NA,NA,NA,NA,NA,8.7
"591","Estymator","DoRzeczy.pl","2020-10-29","2020-10-30","National","1017","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,26.8,10.4,4.1,8.7,NA,NA,13,NA,NA,NA,NA,NA,NA,0.5
"592","CBOS","","2020-10-19","2020-10-29","National","1040","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3,18.1,6.9,3.7,8.1,NA,NA,9.7,NA,NA,NA,NA,NA,NA,22.2
"593","Instytut Badań Pollster","SE.pl","2020-10-27","2020-10-28","National","1022","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.83,31.57,9.76,5.12,5.98,NA,NA,8.35,NA,NA,NA,NA,NA,NA,1.39
"594","PGB Opinium","","2020-10-26","2020-10-28","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,25.5,8.2,4.1,9.3,NA,NA,12.8,NA,NA,NA,NA,NA,NA,7.5
"595","Kantar Public","GW","2020-10-26","2020-10-27","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,25.1,8.4,3.1,8.4,NA,NA,18.8,NA,NA,NA,NA,NA,NA,9.1
"596","Social Changes","wPolityce.pl","2020-10-23","2020-10-26","National","1060","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,26,13,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"597","Estymator","DoRzeczy.pl","2020-10-22","2020-10-23","National","1021","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,27,7,4.3,9.2,NA,NA,12.2,NA,NA,NA,NA,NA,NA,0.5
"598","IBRiS","Onet.pl","2020-10-20","2020-10-20","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,26.9,7.5,3.8,7.2,NA,NA,8.8,NA,NA,NA,NA,NA,NA,8.8
"599","Social Changes","wPolityce.pl","2020-10-16","2020-10-19","National","1069","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,26,11,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"600","IBRiS","WP.pl","2020-10-16","2020-10-16","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,28.2,6.4,2.5,7.8,NA,NA,9.4,NA,NA,NA,NA,NA,NA,9.6
"601","Social Changes","wPolityce.pl","2020-10-09","2020-10-12","National","1083","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,27,14,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"602","CBOS","","2020-09-28","2020-10-08","National","1133","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,16,5,3,8,NA,NA,8,NA,NA,NA,NA,NA,NA,20
"603","Kantar Public","","2020-10-02","2020-10-07","National","977","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,28,7,4,5,NA,NA,9,NA,NA,NA,NA,NA,NA,9
"604","Social Changes","wPolityce.pl","2020-10-02","2020-10-05","National","1076","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,20,13,4,10,NA,NA,15,NA,NA,NA,NA,NA,NA,2
"605","Social Changes","wPolityce.pl","2020-10-02","2020-10-05","National","1076","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,24,14,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"606","IBRiS","WP.pl","2020-10-02","2020-10-02","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6,22.1,7.2,4,7.5,NA,NA,9,NA,NA,NA,NA,NA,NA,8.5
"607","Social Changes","wPolityce.pl","2020-09-25","2020-09-28","National","1067","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,25,11,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"608","Estymator","DoRzeczy.pl","2020-09-25","2020-09-26","National","1014","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6,29.2,8.9,6.8,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7
"609","Instytut Badań Pollster","SE.pl","2020-09-21","2020-09-22","National","1076","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,24.2,8.3,5.7,8.5,NA,NA,9.9,NA,NA,NA,NA,NA,NA,4.1
"610","CBM Indicator","Rzeczpospolita","2020-09-21","2020-09-22","National","603","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,25.9,7.5,4.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9
"611","Social Changes","wPolityce.pl","2020-09-18","2020-09-21","National","1058","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,27,15,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"612","IBRiS","Rzeczpospolita","2020-09-19","2020-09-19","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,21.8,6.1,3.4,8.2,NA,NA,9.2,NA,NA,NA,NA,NA,NA,15.3
"613","United Survey","RMF","2020-09-18","2020-09-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,23.3,6,5,6.7,NA,NA,9.1,NA,NA,NA,NA,NA,NA,9.4
"614","IBRiS","WP.pl","2020-09-18","2020-09-18","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,22.4,5.4,3.2,8.1,NA,NA,11.2,NA,NA,NA,NA,NA,NA,8.8
"615","CBOS","","2020-09-07","2020-09-17","National","1149","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,22,5,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"616","Social Changes","wPolityce.pl","2020-09-11","2020-09-14","National","1055","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,26,10,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"617","Kantar Public","","2020-09-04","2020-09-09","National","977","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,26,4,4,6,NA,NA,11,NA,NA,NA,NA,NA,NA,10
"618","Social Changes","wPolityce.pl","2020-09-04","2020-09-07","National","1095","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,25,12,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"619","IBRiS","WP.pl","2020-09-04","2020-09-05","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,28.6,6.7,5.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1
"620","Social Changes","wPolityce.pl","2020-08-28","2020-08-31","National","1078","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,26,11,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"621","CBOS","","2020-08-18","2020-08-27","National","Not Available","Not Available","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,19,4,3,8,NA,NA,2.3,NA,NA,NA,NA,NA,NA,19.7
"622","Social Changes","wPolityce.pl","2020-08-21","2020-08-24","National","1062","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,25,13,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"623","IBRiS","WP.pl","2020-08-21","2020-08-22","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,23.8,5.1,5.4,7.3,NA,NA,8.4,NA,NA,NA,NA,NA,NA,11.4
"624","United Survey","RMF","2020-08-21","2020-08-21","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,22.5,3.2,2.4,6.7,NA,NA,7.1,NA,NA,NA,NA,NA,NA,16.9
"625","Social Changes","wPolityce.pl","2020-08-14","2020-08-17","National","1078","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43,26,11,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"626","Estymator","DoRzeczy.pl","2020-08-13","2020-08-14","National","1022","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,29.8,9.6,6.9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
"627","Kantar Public","","2020-08-07","2020-08-12","National","971","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,23,6,3,4,NA,NA,5,NA,NA,NA,NA,NA,NA,21
"628","Social Changes","wPolityce.pl","2020-08-07","2020-08-10","National","1078","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43,29,11,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"629","IBRiS","WP.pl","2020-08-06","2020-08-07","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,31,9.1,5,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2
"630","Social Changes","wPolityce.pl","2020-07-31","2020-08-03","National","1081","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,30,11,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"631","IBRiS","KO","2020-07-29","2020-07-29","National","1100","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,33,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"632","Social Changes","wPolityce.pl","2020-07-24","2020-07-27","National","1062","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43,29,8,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"633","IBRiS","WP.pl","2020-07-24","2020-07-25","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,26.5,9.8,5.1,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1
"634","Estymator","DoRzeczy.pl","2020-07-23","2020-07-24","National","1034","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.9,30.8,9.4,6.5,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6
"635","Social Changes","wPolityce.pl","2020-07-21","2020-07-24","National","1062","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,25,13,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","Social Changes","wPolityce.pl","2020-07-17","2020-07-20","National","1076","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,28,10,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"637","United Survey","RMF","2020-07-18","2020-07-18","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,29.1,8,5.4,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3
"638","IBRiS","Onet","2020-07-17","2020-07-18","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,28.1,9.9,5.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6
"639","Instytut Badań Pollster","SE.pl","2020-07-08","2020-07-09","National","1058","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4,23.02,9.98,4.24,8.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.12
"640","IBRiS","Onet","2020-07-04","2020-07-04","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,23.6,7.3,5.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9
"641","Social Changes","wPolityce.pl","2020-06-26","2020-06-27","National","1045","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,25,14,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"642","IBSP","","2020-06-25","2020-06-26","National","1092","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.85,30.94,8.88,6.15,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43
"643","CBOS","","2020-06-15","2020-06-25","National","1378","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,24,7,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"644","IPSOS","OKO","2020-06-22","2020-06-23","National","1017","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,23,9,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"645","Social Changes","wPolityce.pl","2020-06-19","2020-06-23","National","1066","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,30,13,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"646","Estymator","DoRzeczy.pl","2020-06-18","2020-06-19","National","1017","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,28.4,9.6,10.4,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
"647","Instytut Badań Pollster","SE.pl","2020-06-16","2020-06-17","National","1047","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,29.6,10.7,9.1,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"648","IPSOS","OKO","2020-06-15","2020-06-16","National","1017","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,24,10,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"649","Social Changes","wPolityce.pl","2020-06-12","2020-06-16","National","1065","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,28,13,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"650","Instytut Badań Pollster","SE.pl","2020-06-09","2020-06-10","National","1091","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,26.5,11.4,8.9,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3
"651","Kantar Public","","2020-06-05","2020-06-10","National","986","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,31,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"652","Social Changes","wPolityce.pl","2020-06-05","2020-06-09","National","1069","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,26,13,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"653","Kantar Public","PO","2020-06-08","2020-06-08","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,29,8,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"654","Estymator","DoRzeczy.pl","2020-06-03","2020-06-04","National","1022","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,27.4,10.1,11.4,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3
"655","CBOS","","2020-05-22","2020-06-04","National","1308","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,46,20,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"656","Social Changes","wPolityce.pl","2020-05-29","2020-06-02","National","1058","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,43,24,13,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"657","IBRiS","Rzeczpospolita","2020-05-29","2020-05-29","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,24.3,9,11.2,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"658","Instytut Badań Pollster","SE.pl","2020-05-26","2020-05-27","National","1038","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9,26,14.1,9.4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
"659","Social Changes","wPolityce.pl","2020-05-22","2020-05-25","National","1056","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,24,14,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"660","IBRiS","WP.pl","2020-05-22","2020-05-23","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3,23.4,8.1,13.4,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2
"661","Estymator","DoRzeczy.pl","2020-05-21","2020-05-22","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,26.1,11.6,11.9,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9
"662","Kantar Public","","2020-05-18","2020-05-19","National","954","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,23,8,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"663","Social Changes","wPolityce.pl","2020-05-11","2020-05-18","National","1062","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,21,14,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"664","Instytut Badań Pollster","","2020-05-15","2020-05-17","National","1089","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,24.5,13.6,12.6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
"665","Estymator","DoRzeczy.pl","2020-05-14","2020-05-15","National","1025","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,17.3,12.8,14.1,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
"666","Kantar Public","KO","2020-05-14","2020-05-14","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,29.7,10.3,8,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
"667","Social Changes","wPolityce.pl","2020-05-12","2020-05-14","National","1070","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,18,12,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"668","IBRiS","Onet","2020-05-08","2020-05-09","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,15.6,8.2,12.8,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"669","Kantar Public","KO","2020-05-08","2020-05-08","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,28.5,13,9.4,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9
"670","Social Changes","wPolityce.pl","2020-05-06","2020-05-07","National","1073","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,52,17,12,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"671","IBRiS","ZET","2020-05-04","2020-05-04","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,16.4,8.2,10.3,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9
"672","Instytut Badań Pollster","SE.pl","2020-04-30","2020-05-04","National","1109","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,23.7,14.7,11,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"673","IPSOS","OKO","2020-04-27","2020-04-29","National","1016","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,16,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"674","Social Changes","wPolityce.pl","2020-04-24","2020-04-27","National","1081","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,52,17,12,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Estymator","DoRzeczy.pl","2020-04-23","2020-04-24","National","1018","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,19.7,14.4,15.8,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"676","Social Changes","wPolityce.pl","2020-04-17","2020-04-20","National","1063","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,53,17,12,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"677","Kantar Public","","2020-04-16","2020-04-17","National","954","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,21,11,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"678","Social Changes","wpolityce.pl","2020-04-10","2020-04-13","National","1060","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,52,15,11,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"679","Estymator","DoRzeczy.pl","2020-04-08","2020-04-09","National","1023","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,20.4,15.9,12.6,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
